Index,Rank,Place name,County,Full Address,Latitude,Longitude,Population(2018)[16],Area[17],Government[9],Label[9],Year[9][18]
11,283,Atlantis,Palm Beach,Atlantis Palm Beach ,26.5909025,-80.1008762,2109,1.4 sq mi (3.7 km2),Council–manager,City,1959
22,114,Belle Glade,Palm Beach,Belle Glade Palm Beach ,26.6845104,-80.6675577,20058,4.7 sq mi (12.1 km2),Council–manager,City,1928
32,27,Boca Raton,Palm Beach,Boca Raton Palm Beach ,26.3683064,-80.1289321,99244,29.1 sq mi (75.4 km2),Council–manager,City,1925
36,32,Boynton Beach,Palm Beach,Boynton Beach Palm Beach ,26.5317866,-80.0905465,78050,16.3 sq mi (42.1 km2),Commission–manager,City,1907
40,360,Briny Breezes,Palm Beach,Briny Breezes Palm Beach ,26.5084053,-80.0508748,653,0.1 sq mi (0.3 km2),Mayor–council,Town,1963
65,401,Cloud Lake,Palm Beach,Cloud Lake Palm Beach ,26.6761772,-80.0739308,146,0.1 sq mi (0.3 km2),Mayor–council,Town,1948
68,49,Coconut Creek,Broward,Coconut Creek Broward ,26.2517482,-80.1789351,61361,11.8 sq mi (30.5 km2),Commission–manager,City,1967
70,86,Cooper City,Broward,Cooper City Broward ,26.0573112,-80.271716,35853,6.7 sq mi (17.3 km2),Commission–manager,City,1959
72,15,Coral Springs,Broward,Coral Springs Broward ,26.271192,-80.2706044,133507,23.9 sq mi (62.0 km2),Commission–manager,City,1963
80,83,Dania Beach,Broward,Dania Beach Broward ,26.052311,-80.1439343,32271,6.3 sq mi (16.3 km2),Commission–manager,City,1904
82,22,Davie,Broward,Davie Broward ,26.0764783,-80.2521157,106558,34.2 sq mi (88.5 km2),Commission–manager,Town,1925
86,31,Deerfield Beach,Broward,Deerfield Beach Broward ,26.3184123,-80.0997657,80863,14.9 sq mi (38.7 km2),Commission–manager,City,1925
89,37,Delray Beach,Palm Beach,Delray Beach Palm Beach ,26.4614625,-80.0728201,69358,15.9 sq mi (41.2 km2),Commission–manager,City,1911
111,10,Fort Lauderdale,Broward,Fort Lauderdale Broward ,26.1224386,-80.1373174,182595,36.0 sq mi (93.3 km2),Commission–manager,City,1911
